Sample,Elapsed (s),Write Speed (MB/s)
735,376.852,126.45
736,377.373,107.51
737,377.888,100.99
738,378.418,90.44
739,378.936,100.39
740,379.458,91.93
741,379.959,143.97
742,380.462,158.89
743,380.963,151.69
744,381.475,140.65
745,381.989,155.71
746,382.498,164.85
747,383.013,101.09
748,383.543,113.20
749,384.043,103.96
750,384.586,95.73
751,385.101,108.69
752,385.627,106.58
753,386.151,91.58
754,386.673,107.25
755,387.186,109.07
756,387.709,91.81
757,388.221,101.58
758,388.740,107.87
759,389.274,97.42
760,389.798,129.89
761,390.312,147.63
762,390.840,136.44
763,391.344,150.81
764,391.858,155.70
765,392.369,148.72
766,392.882,163.62
767,393.397,155.42
768,393.902,158.53
769,394.409,157.74
770,394.946,111.77
771,395.467,99.75
772,396.000,97.52
773,396.519,100.24
774,397.043,91.59
775,397.569,98.83
776,398.082,140.51
777,398.583,143.57
778,399.104,107.56
779,399.610,94.92
780,400.139,105.81
781,400.674,112.08
782,401.178,103.10
783,401.694,124.06
784,402.215,153.66
785,402.720,158.51
786,403.224,150.74
787,403.745,153.54
788,404.245,151.92
789,404.761,155.13
790,405.266,150.47
791,405.780,155.52
792,406.288,141.75
793,406.820,135.37
794,407.345,99.03
795,407.850,87.14
796,408.360,101.98
797,408.874,109.01
798,409.386,101.43
799,409.887,143.85
800,410.404,154.84
801,410.935,112.89
802,411.440,103.03
803,411.960,99.96
804,412.471,109.56
805,412.991,99.94
806,413.519,98.61
807,414.031,164.02
808,414.535,150.69
809,415.062,98.63
810,415.606,95.73
811,416.135,98.25
812,416.676,96.07
813,417.200,91.63
814,417.735,119.72
815,418.249,163.21
816,418.760,156.55
817,419.267,157.87
818,419.785,162.34
819,420.301,154.99
820,420.802,159.49
821,421.308,158.27
822,421.831,160.65
823,422.334,151.01
824,422.841,118.34
825,423.356,100.98
826,423.889,97.57
827,424.400,101.66
828,424.917,108.31
829,425.435,92.82
830,425.951,131.58
831,426.455,150.76
832,426.974,154.30
833,427.480,150.17
834,427.997,154.81
835,428.501,150.79
836,429.032,97.81
837,429.553,107.67
838,430.070,92.67
839,430.598,106.14
840,431.131,105.11
841,431.655,91.50
842,432.156,111.84
843,432.704,94.89
844,433.217,101.35
845,433.723,102.78
846,434.267,95.55
847,434.777,101.99
848,435.322,88.05
849,435.846,122.18
850,436.359,163.87
851,436.864,158.35
852,437.377,163.89
853,437.886,157.16
854,438.388,151.36
855,438.911,160.48
856,439.417,158.06
857,439.928,148.66
858,440.448,161.81
859,440.960,148.46
860,441.471,156.37
861,441.987,155.06
862,442.501,155.78
863,443.003,87.53
864,443.524,99.86
865,444.035,109.59
866,444.558,99.39
867,445.082,107.00
868,445.608,106.36
869,446.111,95.40
870,446.636,99.14
871,447.159,99.33
872,447.674,93.20
873,448.205,105.47
874,448.729,99.33
875,449.230,103.69
876,449.744,124.45
877,450.263,138.97
878,450.767,126.97
879,451.280,101.23
880,451.786,86.93
881,452.318,97.91
882,452.823,102.87
883,453.325,87.69
884,453.847,107.28
885,454.348,151.64
886,454.858,156.97
