Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Drive Used Bytes,Notes
157,78.632,4268.08,348378890240,37.06,2000263573504,470990987264,
158,79.133,4301.20,350635425792,37.30,2000263573504,470990987264,
159,79.640,4143.39,352841629696,37.53,2000263573504,470990987264,
160,80.141,4155.49,355022667776,37.76,2000263573504,470990987264,
161,80.642,4232.02,357245648896,38.00,2000263573504,470990987264,
162,81.144,4364.48,359544127488,38.24,2000263573504,470990987264,
163,81.645,4279.83,361792274432,38.48,2000263573504,470990987264,
164,82.145,4525.00,364166250496,38.74,2000263573504,470990987264,
165,82.646,4396.57,366473117696,38.98,2000263573504,470990987264,
166,83.146,4410.17,368788373504,39.23,2000263573504,470990987264,
167,83.647,4537.46,371170738176,39.48,2000263573504,470990987264,
168,84.148,431.57,371397230592,39.51,2000263573504,470990987264,
169,84.648,191.68,371497893888,39.52,2000263573504,470990987264,
170,85.149,175.91,371590168576,39.53,2000263573504,470990987264,
171,85.649,191.77,371690831872,39.54,2000263573504,470990987264,
172,86.154,190.08,371791495168,39.55,2000263573504,470990987264,
173,86.655,175.84,371883769856,39.56,2000263573504,470990987264,
174,87.155,175.91,371976044544,39.57,2000263573504,470990987264,
175,87.655,159.89,372059930624,39.58,2000263573504,470990987264,
176,88.156,127.80,372127039488,39.58,2000263573504,470990987264,
177,88.662,126.51,372194148352,39.59,2000263573504,470990987264,
178,89.163,111.79,372252868608,39.60,2000263573504,470990987264,
179,89.664,111.82,372311588864,39.60,2000263573504,470990987264,
180,90.164,143.88,372387086336,39.61,2000263573504,470990987264,
181,90.665,111.94,372445806592,39.62,2000263573504,470990987264,
182,91.165,127.86,372512915456,39.62,2000263573504,470990987264,
183,91.666,111.85,372571635712,39.63,2000263573504,470990987264,
184,92.166,143.82,372647133184,39.64,2000263573504,470990987264,
185,92.667,111.76,372705853440,39.64,2000263573504,470990987264,
186,93.173,126.71,372772962304,39.65,2000263573504,470990987264,
187,93.673,127.89,372840071168,39.66,2000263573504,470990987264,
188,94.174,111.84,372898791424,39.66,2000263573504,470990987264,
189,94.674,95.91,372949123072,39.67,2000263573504,470990987264,
